,id,param1,param2,k_split,r2_score,mse,rmse,filename_graph,time_diff,memory_used
0,ID1n_estimators300_window_size0.5,300,0.5,0,0.7670131065054642,0.37292624437886196,0.6106768739512427,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_17_06_06/regression-Multiturtlebot-TB2TSFreshWin_GradBoost-IDID1n_estimators300_window_size0.5-300-0.5-k_split0.pdf,40.67747025564313,-24301568
1,ID1n_estimators300_window_size0.5,300,0.5,1,0.7910759116779007,0.34575582395140214,0.588010054294484,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_17_06_06/regression-Multiturtlebot-TB2TSFreshWin_GradBoost-IDID1n_estimators300_window_size0.5-300-0.5-k_split1.pdf,40.357592387124896,7430144
2,ID1n_estimators300_window_size0.5,300,0.5,2,0.7409752721562819,0.41234801360750656,0.6421432967862443,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_17_06_06/regression-Multiturtlebot-TB2TSFreshWin_GradBoost-IDID1n_estimators300_window_size0.5-300-0.5-k_split2.pdf,40.61474618688226,2973696
3,ID1n_estimators300_window_size0.5,300,0.5,3,0.7670515804809338,0.3568238111509075,0.5973473119977251,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_17_06_06/regression-Multiturtlebot-TB2TSFreshWin_GradBoost-IDID1n_estimators300_window_size0.5-300-0.5-k_split3.pdf,40.19790735654533,8077312
4,ID1n_estimators300_window_size0.5,300,0.5,4,0.7958383372536116,0.32711294871675334,0.5719378888627272,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_17_06_06/regression-Multiturtlebot-TB2TSFreshWin_GradBoost-IDID1n_estimators300_window_size0.5-300-0.5-k_split4.pdf,40.40644817985594,10862592
5,ID2n_estimators300_window_size1.0,300,1.0,0,0.7199695622806239,0.4351707301649204,0.6596747154203505,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_17_06_06/regression-Multiturtlebot-TB2TSFreshWin_GradBoost-IDID2n_estimators300_window_size1.0-300-1.0-k_split0.pdf,31.65862045250833,-6529024
6,ID2n_estimators300_window_size1.0,300,1.0,1,0.7665630783407553,0.37582725918133847,0.6130475178820468,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_17_06_06/regression-Multiturtlebot-TB2TSFreshWin_GradBoost-IDID2n_estimators300_window_size1.0-300-1.0-k_split1.pdf,31.497335594147444,4345856
7,ID2n_estimators300_window_size1.0,300,1.0,2,0.7751816624775787,0.36674592735051936,0.6055955146387062,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_17_06_06/regression-Multiturtlebot-TB2TSFreshWin_GradBoost-IDID2n_estimators300_window_size1.0-300-1.0-k_split2.pdf,31.536662621423602,1773568
8,ID2n_estimators300_window_size1.0,300,1.0,3,0.7922432226592434,0.3236744533559413,0.5689239433842992,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_17_06_06/regression-Multiturtlebot-TB2TSFreshWin_GradBoost-IDID2n_estimators300_window_size1.0-300-1.0-k_split3.pdf,31.252983823418617,966656
9,ID2n_estimators300_window_size1.0,300,1.0,4,0.7868730314068756,0.34761487345152575,0.5895887324665607,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_17_06_06/regression-Multiturtlebot-TB2TSFreshWin_GradBoost-IDID2n_estimators300_window_size1.0-300-1.0-k_split4.pdf,30.874951796606183,1019904
10,ID3n_estimators300_window_size2.0,300,2.0,0,0.7275545117266587,0.4300778140422665,0.6558031823971782,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_17_06_06/regression-Multiturtlebot-TB2TSFreshWin_GradBoost-IDID3n_estimators300_window_size2.0-300-2.0-k_split0.pdf,26.392969265580177,8581120
11,ID3n_estimators300_window_size2.0,300,2.0,1,0.7644981038049696,0.3843109561768005,0.6199281863061241,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_17_06_06/regression-Multiturtlebot-TB2TSFreshWin_GradBoost-IDID3n_estimators300_window_size2.0-300-2.0-k_split1.pdf,26.454924430698156,4816896
12,ID3n_estimators300_window_size2.0,300,2.0,2,0.7610417825438028,0.3797139054779246,0.6162093033036133,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_17_06_06/regression-Multiturtlebot-TB2TSFreshWin_GradBoost-IDID3n_estimators300_window_size2.0-300-2.0-k_split2.pdf,26.21384136006236,4145152
13,ID3n_estimators300_window_size2.0,300,2.0,3,0.7890074516949842,0.3417138188300263,0.5845629297432623,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_17_06_06/regression-Multiturtlebot-TB2TSFreshWin_GradBoost-IDID3n_estimators300_window_size2.0-300-2.0-k_split3.pdf,26.683793203905225,19988480
14,ID3n_estimators300_window_size2.0,300,2.0,4,0.7102798869634848,0.453016919434468,0.6730653158754119,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_17_06_06/regression-Multiturtlebot-TB2TSFreshWin_GradBoost-IDID3n_estimators300_window_size2.0-300-2.0-k_split4.pdf,26.416139969602227,-3133440
15,ID4n_estimators300_window_size5.0,300,5.0,0,0.6578341162730047,0.538022072078538,0.7334998787174665,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_17_06_06/regression-Multiturtlebot-TB2TSFreshWin_GradBoost-IDID4n_estimators300_window_size5.0-300-5.0-k_split0.pdf,23.505586564540863,8720384
16,ID4n_estimators300_window_size5.0,300,5.0,1,0.6949249376726045,0.5115584590473243,0.7152331501317066,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_17_06_06/regression-Multiturtlebot-TB2TSFreshWin_GradBoost-IDID4n_estimators300_window_size5.0-300-5.0-k_split1.pdf,23.363915832713246,41259008
17,ID4n_estimators300_window_size5.0,300,5.0,2,0.6351971223643154,0.5673706038415731,0.7532400705230525,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_17_06_06/regression-Multiturtlebot-TB2TSFreshWin_GradBoost-IDID4n_estimators300_window_size5.0-300-5.0-k_split2.pdf,24.104872638359666,-24473600
18,ID4n_estimators300_window_size5.0,300,5.0,3,0.6386638463553718,0.5595423102588138,0.7480256080234244,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_17_06_06/regression-Multiturtlebot-TB2TSFreshWin_GradBoost-IDID4n_estimators300_window_size5.0-300-5.0-k_split3.pdf,24.150484658777714,11726848
19,ID4n_estimators300_window_size5.0,300,5.0,4,0.6201644798911417,0.6195505031802019,0.7871153048824562,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_17_06_06/regression-Multiturtlebot-TB2TSFreshWin_GradBoost-IDID4n_estimators300_window_size5.0-300-5.0-k_split4.pdf,24.647269705310464,8364032
20,ID5n_estimators300_window_size10.0,300,10.0,0,0.4207005404883666,0.9446660433168519,0.9719393207998388,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_17_06_06/regression-Multiturtlebot-TB2TSFreshWin_GradBoost-IDID5n_estimators300_window_size10.0-300-10.0-k_split0.pdf,23.17541314661503,-307200
21,ID5n_estimators300_window_size10.0,300,10.0,1,0.474838172390322,0.8461977294331541,0.9198900637756416,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_17_06_06/regression-Multiturtlebot-TB2TSFreshWin_GradBoost-IDID5n_estimators300_window_size10.0-300-10.0-k_split1.pdf,23.324135748669505,8560640
22,ID5n_estimators300_window_size10.0,300,10.0,2,0.5259839236719932,0.7669955734230733,0.8757828346245851,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_17_06_06/regression-Multiturtlebot-TB2TSFreshWin_GradBoost-IDID5n_estimators300_window_size10.0-300-10.0-k_split2.pdf,23.44955436512828,3809280
23,ID5n_estimators300_window_size10.0,300,10.0,3,0.5384929363420248,0.7300027215763113,0.854401967212337,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_17_06_06/regression-Multiturtlebot-TB2TSFreshWin_GradBoost-IDID5n_estimators300_window_size10.0-300-10.0-k_split3.pdf,23.219979416579008,7241728
24,ID5n_estimators300_window_size10.0,300,10.0,4,0.4452235169434031,0.8581828049958073,0.9263815655526654,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_17_06_06/regression-Multiturtlebot-TB2TSFreshWin_GradBoost-IDID5n_estimators300_window_size10.0-300-10.0-k_split4.pdf,22.955580605193973,6242304
25,ID6n_estimators150_window_size0.5,150,0.5,0,0.7661084003675257,0.38246079289514573,0.6184341459647468,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_17_06_06/regression-Multiturtlebot-TB2TSFreshWin_GradBoost-IDID6n_estimators150_window_size0.5-150-0.5-k_split0.pdf,39.16974608041346,128765952
26,ID6n_estimators150_window_size0.5,150,0.5,1,0.7816464833359247,0.358912903905326,0.5990934016539708,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_17_06_06/regression-Multiturtlebot-TB2TSFreshWin_GradBoost-IDID6n_estimators150_window_size0.5-150-0.5-k_split1.pdf,39.911913776770234,-119447552
